datetime,price,quantity,venue
2020-07-01 07:00:54:694,363.14,100,ARCX
2020-07-01 07:00:55:774,363.14,100,ARCX
2020-07-01 07:00:55:774,363.14,50,ARCX
2020-07-01 07:00:57:650,363.14,100,ARCX
2020-07-01 07:00:57:650,363.14,36,ARCX
2020-07-01 07:00:59:198,363.14,100,ARCX
2020-07-01 07:01:12:672,363.11,1,XNGS
2020-07-01 07:01:12:673,363.14,9,ARCX
2020-07-01 07:01:14:312,363.14,91,ARCX
2020-07-01 07:01:14:312,363.14,100,ARCX
2020-07-01 07:01:14:312,363.14,714,ARCX
2020-07-01 07:01:14:330,363.14,100,ARCX
2020-07-01 07:01:28:146,363.37,11,EDGX
2020-07-01 07:01:28:147,363.21,1,XNGS
2020-07-01 07:01:28:148,363.38,88,ARCX
2020-07-01 07:02:00:250,363.31,1,XNGS
2020-07-01 07:02:00:250,363.34,1,EDGX
2020-07-01 07:02:02:071,363.34,9,EDGX
2020-07-01 07:02:02:071,363.3,41,EDGX
2020-07-01 07:02:02:398,363.21,1,XNGS
2020-07-01 07:02:02:398,363.21,104,ARCX
2020-07-01 07:02:02:398,363.15,5,ARCX
2020-07-01 07:02:02:398,363.14,10,ARCX
2020-07-01 07:02:02:398,363.3,9,EDGX
2020-07-01 07:02:02:398,363.21,104,EDGX
2020-07-01 07:02:02:398,363.16,100,EDGX
2020-07-01 07:02:02:399,363.16,308,EDGX
2020-07-01 07:02:02:399,363.14,103,ARCX
2020-07-01 07:02:02:399,363.14,100,ARCX
2020-07-01 07:02:02:399,363.14,1,ARCX
2020-07-01 07:02:02:399,363.14,308,ARCX
2020-07-01 07:02:06:215,363.14,80,EDGX
2020-07-01 07:02:06:215,363.1,20,EDGX
2020-07-01 07:02:07:617,363.1,100,ARCX
2020-07-01 07:02:07:997,363.1,10,ARCX
2020-07-01 07:02:07:997,363.1,50,ARCX
2020-07-01 07:02:08:191,363.1,1,ARCX
2020-07-01 07:02:08:572,363.1,100,ARCX
2020-07-01 07:02:11:949,363,100,ARCX
2020-07-01 07:02:11:949,363,30,ARCX
2020-07-01 07:02:11:954,363.08,10,XNGS
2020-07-01 07:02:18:864,363.1,45,EDGX
2020-07-01 07:02:19:912,363.1,2,EDGX
2020-07-01 07:02:23:236,363.06,2,ARCX
2020-07-01 07:02:24:571,363.01,1,XNGS
2020-07-01 07:02:24:571,362.8,9,XNGS
2020-07-01 07:02:24:572,362.88,55,ARCX
2020-07-01 07:02:24:572,362.88,10,ARCX
2020-07-01 07:02:24:572,362.82,1,ARCX
2020-07-01 07:02:27:174,363,5,ARCX
2020-07-01 07:02:29:797,363,2,EDGX
2020-07-01 07:02:40:402,363,63,ARCX
2020-07-01 07:02:40:402,363.09,237,ARCX
2020-07-01 07:02:40:402,363,6,XNGS
2020-07-01 07:02:40:402,363,44,XNGS
2020-07-01 07:03:00:651,363.05,100,ARCX
2020-07-01 07:03:04:721,362.98,125,ARCX
2020-07-01 07:03:04:721,362.96,100,ARCX
2020-07-01 07:03:07:564,362.98,25,ARCX
2020-07-01 07:03:07:818,362.98,75,ARCX
2020-07-01 07:03:08:673,363,138,ARCX
2020-07-01 07:03:10:296,363,100,ARCX
2020-07-01 07:03:10:655,363,100,ARCX
2020-07-01 07:03:11:461,363,87,ARCX
2020-07-01 07:03:12:744,363,10,XNGS
2020-07-01 07:03:12:744,362.9,20,ARCX
2020-07-01 07:03:12:744,363,10,EDGX
2020-07-01 07:03:16:374,363,10,EDGX
2020-07-01 07:03:16:374,362.85,5,EDGX
2020-07-01 07:03:16:374,362.91,1,XNGS
2020-07-01 07:03:16:375,362.87,34,ARCX
2020-07-01 07:03:21:239,363.04,1,EDGX
2020-07-01 07:03:34:177,362.98,44,ARCX
2020-07-01 07:03:34:177,363,6,ARCX
